product name,Product Price
acer P Series 80 cm (32 inch) HD Ready LED Smart Android TV,"13,999"
Adsun 80 cm (32 inch) HD Ready LED Smart TV,"₹10,999"
Coocaa 80 cm (32 inch) HD Ready LED Smart TV,"₹10,999"
iFFALCON 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,"₹33,999"
LG 80 cm (32 inch) HD Ready LED Smart TV,"₹17,499"
MarQ By Flipkart 80 cm (32 inch) HD Ready LED TV,"₹9,999"
Mi 4A Horizon Edition 100 cm (40 inch) Full HD LED Smart Android TV,"₹24,999"
Mi 4A Horizon Edition 80 cm (32 inch) HD Ready LED Smart Android TV,"₹17,499"
Mi 4A PRO 80 cm (32 inch) HD Ready LED Smart Android TV,"₹16,999"
Mi 5X 125.7 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,"₹41,999"
MOTOROLA Revou-Q 127 cm (50 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹49,999"
MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹54,999"
MOTOROLA ZX2 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Atmos and Dolby Vision,"₹18,999"
OnePlus Y Series 100 cm (40 inch) Full HD LED Smart Android TV,"₹23,999"
OnePlus Y Series 108 cm (43 inch) Full HD LED Smart Android TV,"₹26,999"
realme 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Handsfree Voice Search and Dolby Visio...,"₹29,999"
realme 80 cm (32 inch) HD Ready LED Smart Android TV,"₹16,999"
SAMSUNG 80 cm (32 inch) HD Ready LED Smart TV,"₹17,999"
TCL P615 108 cm (43 inch) Ultra HD (4K) LED Smart TV with Dolby Audio,"₹29,999"
TCL P615 126 cm (50 inch) Ultra HD (4K) LED Smart TV with Dolby Audio,"₹35,999"
TCL P615 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Audio,"₹39,999"
Thomson R9 60 cm (24 inch) HD Ready LED TV,"₹7,999"
Vu Premium 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,"₹27,999"
Vu Premium 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,"₹39,999"
